source_path	target_article	coverage_status	notes
课程记录/Games104/02-引擎架构分层.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	引擎分层与系统边界
课程记录/Games104/03-游戏世界与组件系统.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	世界、组件与场景管理
课程记录/Games104/04-渲染管线与GPU架构.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md；知识库/13_引擎架构与资源系统/Forward、Deferred与Clustered渲染.md	已覆盖	渲染与 GPU 架构
课程记录/Games104/05-渲染方程、球谐与软阴影.md	知识库/04_光照模型与PBR/经典光照、BRDF与微表面模型.md；知识库/01_数学与采样/概率采样、积分与球谐函数.md；知识库/05_光照阴影与GI/阴影贴图、PCF与PCSS.md	已覆盖	光照数学
课程记录/Games104/06-地形、大气与体积云.md	知识库/08_几何与网格/LOD、地形与程序化资产.md；知识库/10_VFX与模拟/大气散射、天空与体积云.md	已覆盖	地形与环境渲染
课程记录/Games104/07-现代渲染与后处理.md	知识库/07_颜色与后处理/Tone Mapping、Bloom与屏幕效果.md；知识库/13_引擎架构与资源系统/Render Pass、Command Buffer与Render Graph.md	已覆盖	现代渲染与后处理
课程记录/Games104/08-动画技术与旋转基础.md	知识库/09_动画系统/骨骼动画、蒙皮与GPU动画.md；知识库/01_数学与采样/旋转、四元数与插值.md	已覆盖	动画基础
课程记录/Games104/09-蒙皮矩阵与动画压缩.md	知识库/09_动画系统/骨骼动画、蒙皮与GPU动画.md；知识库/09_动画系统/动画压缩、面部、布料与毛发.md	已覆盖	蒙皮与压缩
课程记录/Games104/10-动画树、IK与表情.md	知识库/09_动画系统/动画状态、混合与IK.md；知识库/09_动画系统/动画压缩、面部、布料与毛发.md	已覆盖	高级动画
课程记录/Games104/11-高级物理系统.md	知识库/18_游戏物理与模拟/刚体、碰撞与约束求解.md；知识库/18_游戏物理与模拟/角色、布料、破坏与载具物理.md	已覆盖	游戏物理
课程记录/Games104/12-粒子与音频系统.md	知识库/10_VFX与模拟/粒子系统与GPU模拟.md；知识库/13_引擎架构与资源系统/游戏音频系统.md	已覆盖	粒子与音频
课程记录/Games104/13-引擎工具链基础.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md；知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	工具链基础
课程记录/Games104/14-世界编辑器、插件与反射.md	知识库/15_资产与工具管线/编辑器工具与批处理架构.md；知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	世界编辑器与反射
课程记录/Games104/15-Gameplay、脚本与3C.md	知识库/19_Gameplay与游戏框架/玩法系统、事件与脚本.md	已覆盖	Gameplay 基础
课程记录/Games104/16-导航、寻路与路径平滑.md	知识库/20_游戏AI/导航、寻路与移动控制.md	已覆盖	导航寻路
课程记录/Games104/17-转向、群体、感知与决策.md	知识库/20_游戏AI/导航、寻路与移动控制.md；知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	移动与群体 AI
课程记录/Games104/18-HTN、GOAP与MCTS.md	知识库/20_游戏AI/行为树、效用与规划.md；知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	规划与搜索
课程记录/Games104/19-机器学习与强化学习AI.md	知识库/20_游戏AI/群体、学习与高级决策.md	已覆盖	学习型 AI
课程记录/Games104/20-网络协议、时钟与RPC.md	知识库/21_游戏网络/网络协议、时钟与RPC.md	已覆盖	网络基础
课程记录/Games104/21-同步、复制与网络物理.md	知识库/21_游戏网络/状态同步、预测与回滚.md	已覆盖	网络同步
课程记录/Games104/22-位移同步与命中判定.md	知识库/21_游戏网络/状态同步、预测与回滚.md	已覆盖	预测与命中判定
课程记录/Games104/23-MMO、分布式同步与反作弊.md	知识库/21_游戏网络/服务器架构、分区与反作弊.md	已覆盖	服务器架构
课程记录/Games104/24-数据导向与任务系统上.md	知识库/13_引擎架构与资源系统/数据导向设计与任务系统.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	数据导向、调度与并行
课程记录/Games104/25-数据导向与任务系统下.md	知识库/13_引擎架构与资源系统/数据导向设计与任务系统.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	任务系统与并发基础
课程记录/Games104/26-Lumen、蒙特卡洛与SDF追踪.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md；知识库/01_数学与采样/概率采样、积分与球谐函数.md	已覆盖	Lumen 基础
课程记录/Games104/27-Lumen光照缓存与屏幕探针.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md	已覆盖	Lumen 缓存与探针
课程记录/Games104/28-GPU驱动几何与Nanite基础.md	知识库/12_光追与现代渲染/GPU-Driven管线与Nanite.md	已覆盖	GPU 驱动几何
课程记录/Games104/29-Nanite虚拟几何与虚拟阴影.md	知识库/12_光追与现代渲染/GPU-Driven管线与Nanite.md	已覆盖	Nanite
课程记录/图形工程/01-Windows、Win32与COM基础.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md；知识库/16_编程与数据结构/C++、CSharp与Python工程基础.md；知识库/16_编程与数据结构/操作系统、进程与并发基础.md	已覆盖	平台、系统调用与组件模型
课程记录/图形工程/02-Direct3D11渲染基础.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md；知识库/13_引擎架构与资源系统/Render Pass、Command Buffer与Render Graph.md	已覆盖	D3D11 管线
课程记录/图形工程/03-HLSL与图形管线.md	知识库/03_Shader编程/Shader语言与数据流.md；知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md	已覆盖	HLSL 与管线
课程记录/图形工程/04-实时渲染与TA基础.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md；知识库/14_性能分析与优化/帧时间、瓶颈与GPU成本.md	已覆盖	实时渲染基础
课程记录/图形工程/05-前向渲染与内存对齐.md	知识库/13_引擎架构与资源系统/Forward、Deferred与Clustered渲染.md；知识库/16_编程与数据结构/内存、对象生命周期与对象池.md	已覆盖	前向渲染与布局
课程记录/图形工程/06-Pass、Material与ShaderLab.md	知识库/13_引擎架构与资源系统/Render Pass、Command Buffer与Render Graph.md；知识库/03_Shader编程/Shader编译、关键字与变体.md	已覆盖	材质与 Pass
课程记录/图形工程/07-PBR与光照传播.md	知识库/04_光照模型与PBR/经典光照、BRDF与微表面模型.md；知识库/04_光照模型与PBR/PBR材质与能量守恒.md	已覆盖	PBR
课程记录/图形工程/08-Unity光照与渲染管线.md	知识库/05_光照阴影与GI/烘焙光照、Probe与实时GI.md；知识库/13_引擎架构与资源系统/Unity与Unreal渲染扩展入口.md	已覆盖	Unity 光照
课程记录/图形工程/09-渲染排序、表面着色与噪声.md	知识库/03_Shader编程/Shader语言与数据流.md；知识库/10_VFX与模拟/常用VFX材质、模拟与性能.md	已覆盖	Shader 实践
课程记录/图形工程/10-自定义光照与NPR.md	知识库/11_NPR与风格化渲染/NPR材质与分层光照.md；知识库/04_光照模型与PBR/经典光照、BRDF与微表面模型.md	已覆盖	NPR 光照
课程记录/图形工程/11-后处理描边与水彩.md	知识库/07_颜色与后处理/Tone Mapping、Bloom与屏幕效果.md；知识库/11_NPR与风格化渲染/描边、Billboard与场景风格化.md	已覆盖	后处理风格化
课程记录/图形工程/12-大气散射.md	知识库/10_VFX与模拟/大气散射、天空与体积云.md	已覆盖	大气散射
课程记录/图形工程/13-体积云与大气散射.md	知识库/10_VFX与模拟/大气散射、天空与体积云.md	已覆盖	体积云
课程记录/图形工程/14-GPU粒子与ComputeShader.md	知识库/10_VFX与模拟/粒子系统与GPU模拟.md；知识库/03_Shader编程/Compute Shader与GPU执行模型.md	已覆盖	GPU 粒子
课程记录/图形工程/15-Houdini程序化建模.md	知识库/08_几何与网格/网格数据、缓存与几何处理.md；知识库/15_资产与工具管线/DCC、数据格式与资产交换.md	已覆盖	程序化建模
课程记录/图形工程/16-程序化纹理、UV与材质.md	知识库/06_纹理技术/UV、图集、流送与虚拟纹理.md；知识库/15_资产与工具管线/DCC、数据格式与资产交换.md	已覆盖	纹理与材质制作
课程记录/图形工程/17-Houdini高度场与Unity地形.md	知识库/08_几何与网格/LOD、地形与程序化资产.md；知识库/15_资产与工具管线/DCC、数据格式与资产交换.md	已覆盖	高度场地形
课程记录/图形工程/18-程序化树、PDG与LOD.md	知识库/08_几何与网格/LOD、地形与程序化资产.md；知识库/15_资产与工具管线/DCC、数据格式与资产交换.md	已覆盖	程序化资产
课程记录/图形学/01-引擎架构与开发环境.md	知识库/13_引擎架构与资源系统/引擎分层、世界与对象模型.md	已覆盖	引擎与环境
课程记录/图形学/02-图形学与渲染基础.md	知识库/02_GPU与光栅化管线/一帧如何到达屏幕.md	已覆盖	渲染基础
