"source_path"	"section_line"	"section_heading"	"target_article"	"coverage_status"	"notes"
"课程记录/编辑器设计/01-Agent工作流与序列化.md"	"3"	"一、核心知识点与原理剖析"	"知识库/17_AIGC与Agent管线/Agent驱动资产管线与质量门禁.md；知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"Agent 与序列化"
"课程记录/编辑器设计/01-Agent工作流与序列化.md"	"185"	"二、重点术语与概念解析"	"知识库/17_AIGC与Agent管线/Agent驱动资产管线与质量门禁.md；知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"Agent 与序列化"
"课程记录/编辑器设计/01-Agent工作流与序列化.md"	"199"	"三、工程经验与避坑指南"	"知识库/17_AIGC与Agent管线/Agent驱动资产管线与质量门禁.md；知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"Agent 与序列化"
"课程记录/编辑器设计/02-属性绘制、事务与运行时编辑.md"	"3"	"一、核心知识点与原理剖析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器事务"
"课程记录/编辑器设计/02-属性绘制、事务与运行时编辑.md"	"156"	"二、重点术语与概念解析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器事务"
"课程记录/编辑器设计/02-属性绘制、事务与运行时编辑.md"	"169"	"三、工程经验与避坑指南"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器事务"
"课程记录/编辑器设计/03-地图编辑器MVP与调试.md"	"3"	"一、核心知识点与原理剖析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"地图编辑器"
"课程记录/编辑器设计/03-地图编辑器MVP与调试.md"	"147"	"二、重点术语与概念解析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"地图编辑器"
"课程记录/编辑器设计/03-地图编辑器MVP与调试.md"	"160"	"三、工程经验与避坑指南"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"地图编辑器"
"课程记录/编辑器设计/04-编辑器交互与关卡组件.md"	"3"	"一、核心知识点与原理剖析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"交互与组件"
"课程记录/编辑器设计/04-编辑器交互与关卡组件.md"	"136"	"二、重点术语与概念解析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"交互与组件"
"课程记录/编辑器设计/04-编辑器交互与关卡组件.md"	"148"	"三、工程经验与避坑指南"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"交互与组件"
"课程记录/编辑器设计/05-选择、吸附与视差层级.md"	"3"	"一、核心知识点与原理剖析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器交互"
"课程记录/编辑器设计/05-选择、吸附与视差层级.md"	"169"	"二、重点术语与概念解析"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器交互"
"课程记录/编辑器设计/05-选择、吸附与视差层级.md"	"182"	"三、工程经验与避坑指南"	"知识库/15_资产与工具管线/编辑器工具与批处理架构.md"	"已覆盖"	"编辑器交互"
"课程记录/数据结构和算法/01-算法基础与递归枚举.md"	"3"	"一、 核心知识点与原理剖析"	"知识库/16_编程与数据结构/算法设计、树、图与空间划分.md"	"已覆盖"	"算法基础"
"课程记录/数据结构和算法/01-算法基础与递归枚举.md"	"157"	"二、 重点术语与概念解析"	"知识库/16_编程与数据结构/算法设计、树、图与空间划分.md"	"已覆盖"	"算法基础"
"课程记录/数据结构和算法/01-算法基础与递归枚举.md"	"174"	"三、 工程经验与避坑指南"	"知识库/16_编程与数据结构/算法设计、树、图与空间划分.md"	"已覆盖"	"算法基础"
"课程记录/数据结构和算法/01-算法基础与递归枚举.md"	"221"	"四、 课后算法习题核心代码实现 (C#)"	"知识库/16_编程与数据结构/算法设计、树、图与空间划分.md"	"已覆盖"	"算法基础"
"课程记录/数据结构和算法/02-渐进分析与分治.md"	"3"	"一、 核心知识点与原理剖析"	"知识库/16_编程与数据结构/算法设计、树、图与空间划分.md"	"已覆盖"	"复杂度与分治"
