"source_path"	"line"	"level"	"heading"
"AGENTS.md"	"1"	"1"	"个人游戏开发知识库协作规则"
"AGENTS.md"	"3"	"2"	"范围"
"AGENTS.md"	"9"	"2"	"公开仓库与隐私"
"AGENTS.md"	"18"	"2"	"知识架构"
"AGENTS.md"	"28"	"2"	"来源与覆盖"
"AGENTS.md"	"37"	"2"	"内容深度"
"AGENTS.md"	"49"	"2"	"写作与 Markdown"
"AGENTS.md"	"58"	"2"	"工作流程"
"AGENTS.md"	"71"	"2"	"验收门禁"
"AGENTS.md"	"80"	"2"	"Git"
"课程记录\ACT\01-游戏程序五层架构.md"	"1"	"1"	"游戏程序架构实战：从功能实现到五层系统化设计"
"课程记录\ACT\01-游戏程序五层架构.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\ACT\01-游戏程序五层架构.md"	"5"	"3"	"1. 游戏程序员的发展阶段"
"课程记录\ACT\01-游戏程序五层架构.md"	"10"	"3"	"2. 游戏分类与核心设计逻辑"
"课程记录\ACT\01-游戏程序五层架构.md"	"19"	"3"	"3. 程序分层架构的思想（解耦）"
"课程记录\ACT\01-游戏程序五层架构.md"	"28"	"3"	"4. 动作游戏（ACT）五层架构详解"
"课程记录\ACT\01-游戏程序五层架构.md"	"61"	"2"	"二、 重点术语与概念解析"
"课程记录\ACT\01-游戏程序五层架构.md"	"74"	"2"	"三、 工程经验与避坑指南"
"课程记录\ACT\01-游戏程序五层架构.md"	"76"	"3"	"1. 开发协作与工具化"
"课程记录\ACT\01-游戏程序五层架构.md"	"80"	"3"	"2. 优化手感的小技巧"
"课程记录\ACT\01-游戏程序五层架构.md"	"85"	"3"	"3. 代码重构的价值"
"课程记录\ACT\01-游戏程序五层架构.md"	"89"	"3"	"4. AI 开发建议"
"课程记录\ACT\01-游戏程序五层架构.md"	"93"	"3"	"5. 关于“滑步”与 Root Motion"
"课程记录\ACT\02-输入层设计.md"	"1"	"1"	"ACT游戏框架开发：输入层 (Input Layer) 的体系化构建与实战拆解"
"课程记录\ACT\02-输入层设计.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\ACT\02-输入层设计.md"	"5"	"3"	"1. 程序分层设计的初衷"
"课程记录\ACT\02-输入层设计.md"	"10"	"3"	"2. 纯 C# 类与 Unity 生命周期管理（时序问题）"
"课程记录\ACT\02-输入层设计.md"	"16"	"3"	"3. 输入层生命周期的自定义架构"
"课程记录\ACT\02-输入层设计.md"	"25"	"2"	"二、 重点术语与概念解析"
"课程记录\ACT\02-输入层设计.md"	"27"	"3"	"1. 核心类定义"
"课程记录\ACT\02-输入层设计.md"	"33"	"3"	"2. 动作系统术语（基于《街霸6》案例拆解）"
"课程记录\ACT\02-输入层设计.md"	"46"	"2"	"三、 框架核心代码实现逻辑"
"课程记录\ACT\02-输入层设计.md"	"48"	"3"	"1. InputBase 泛型设计"
"课程记录\ACT\02-输入层设计.md"	"68"	"3"	"2. InputDevice 硬件读取"
"课程记录\ACT\02-输入层设计.md"	"83"	"2"	"四、 工程经验与避坑指南"
"课程记录\ACT\02-输入层设计.md"	"85"	"3"	"1. 开发避坑与技巧"
"课程记录\ACT\02-输入层设计.md"	"90"	"3"	"2. 搓招判定逻辑优化建议"
