"source_path"	"slide"	"title"	"text_preview"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"1"	"游戏图形工程"	"游戏图形工程 | 第一节 | 基础 | Win32编程 | 讲述人：竹淅 | BolanT"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"2"	""	""
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"3"	"一"	"一 | 、应用程序入口点 | 控制台程序入口点 | : | 窗口程序入口点 | :"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"4"	"一"	"一 | 、应用程序入口点 | -WINAPI | 调用约定 | : | 调用约定决定了开始调用函数时储存参数的方式，以及结束调用时由谁来进行栈的清理。"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"5"	"一"	"一 | 、应用程序入口点 | -HINSTANCE | HINSTANCE | 是指向一个结构体的指针，这个结构体含有一个整型变量。 | 该变量指向所写程序加载到内存后的基址。"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"6"	"一"	"一 | 、应用程序入口点 | -PWSTR | 1. | 指针的编码约定 | 在"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"7"	"一"	"一 | 、应用程序入口点 | -pCmdLine | 此处用 | PWSTR | 或"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"8"	"一"	"一 | 、应用程序入口点 | -wWinMain | 对应于 | ANSI | 字符"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"9"	"一"	"一 | 、应用程序入口点 | -TCHAR | 为了应对 | 不同字符集切换 | 的情况，通常可以引入"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"10"	"一"	"一 | 、应用程序入口点 | -nCmdShow | nCmdShow | 标识了应用程序第一次打开窗口时窗口的显示方式。 | 在创建窗口后，第一次调用"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"11"	"二、窗口与消息"	"二、窗口与消息 | - | 单线程"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"12"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | 窗口（Window） | 概念：窗口是屏幕上用于交互的矩形区域。它不仅是图形用户界面的基本元素，也是消息传递的主体。"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"13"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | 窗口类（Window Class） | 概念：窗口类定义了一组窗口的共同属性和行为。它包括窗口的"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"14"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | cbSize | ："
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"15"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | - | 窗口样式"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"16"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | - | 窗口样式"
"图形工程\文字记录\游戏图形工程1-基础Win32编程.pptx"	"17"	"二、窗口与消息"	"二、窗口与消息 | - | 窗口与 | 窗口类 | - | 创建窗口"
